"Match Id","Series Id","Event Name","Map Name","Team 1 Id","Team 1 Name","Team 2 Id","Team 2 Name","Team 1 Score","Team 2 Score","Win Condition","Date","Team 1 Player Ids","Team 2 Player Ids","Total Count"
44973,21067,"VALORANT Champions 2021 - Group Stage","Icebox",75,"Team Envy",727,"X10 CRIT",13,10,"standard","2021-12-07T00:00:00.000Z","[2716,398,2483,2841,3211,2716,398,2483,2841,3211,2716,398,2483,2841,3211,2716,398,2483,2841,3211,2716,398,2483,2841,3211]","[671,671,671,671,671,3642,3642,3642,3642,3642,3113,3113,3113,3113,3113,6890,6890,6890,6890,6890,766,766,766,766,766]",71
44890,21026,"VALORANT Champions 2021 - Group Stage","Icebox",53,"Team Vikings",4696,"Team Secret",7,13,"standard","2021-12-07T00:00:00.000Z","[2294,194,3105,2895,194,2294,1877,3105,2895,194,2294,1877,3105,2895,194,2294,1877,3105,2895,194,2294,1877,1877,3105,2895]","[193,193,193,193,405,405,405,405,405,2674,2674,2674,2674,2674,9537,9537,9537,9537,9537,3076,3076,193,3076,3076,3076]",71
44889,21026,"VALORANT Champions 2021 - Group Stage","Haven",53,"Team Vikings",4696,"Team Secret",6,13,"standard","2021-12-07T00:00:00.000Z","[2895,3105,2895,2294,1877,194,3105,2895,2294,1877,194,3105,2294,1877,194,3105,2895,2294,1877,194,3105,2895,2294,1877,194]","[405,9537,9537,9537,9537,9537,3076,3076,3076,3076,3076,405,405,405,405,2674,2674,2674,2674,2674,193,193,193,193,193]",71
44868,21011,"VALORANT Champions 2021 - Group Stage","Breeze",286,"DRX Vision Strikers",141,"Cloud9",11,13,"standard","2021-12-07T00:00:00.000Z","[1550,582,1550,1251,2151,452,582,1550,1251,2151,452,582,1550,1251,2151,452,582,1550,1251,2151,452,582,1251,2151,452]","[1961,2213,2213,2213,2213,2213,3599,3599,3599,3599,3599,4639,4639,4639,4639,4639,13591,13591,13591,13591,13591,1961,1961,1961,1961]",71
44867,21011,"VALORANT Champions 2021 - Group Stage","Split",286,"DRX Vision Strikers",141,"Cloud9",13,9,"standard","2021-12-07T00:00:00.000Z","[452,2151,1550,1251,582,452,2151,1550,1251,582,452,2151,1550,1251,582,452,2151,1550,1251,582,452,2151,1550,1251,582]","[3599,4639,4639,4639,4639,4639,13591,13591,13591,13591,13591,1961,1961,1961,1961,1961,2213,2213,2213,2213,2213,3599,3599,3599,3599]",71
44866,21011,"VALORANT Champions 2021 - Group Stage","Ascent",286,"DRX Vision Strikers",141,"Cloud9",10,13,"standard","2021-12-07T00:00:00.000Z","[452,582,2151,1550,1251,452,582,2151,1550,1251,452,582,2151,1550,1251,452,582,2151,1550,1251,452,582,2151,1550,1251]","[1961,13591,13591,13591,13591,13591,4639,4639,4639,4639,4639,3599,3599,3599,3599,3599,2213,2213,2213,2213,2213,1961,1961,1961,1961]",71
44888,21025,"VALORANT Champions 2021 - Group Stage","Split",388,"Sentinels",976,"KRÜ Esports",11,13,"standard","2021-12-06T00:00:00.000Z","[724,893,1614,3033,1485,724,893,1614,3033,1485,724,893,1614,3033,1485,724,893,1614,3033,1485,724,893,1614,3033,1485]","[4710,4710,4710,4710,4710,3535,3535,3535,3535,3535,2532,2532,2532,2532,2532,1725,1725,1725,1725,1725,4712,4712,4712,4712,4712]",71
44887,21025,"VALORANT Champions 2021 - Group Stage","Haven",388,"Sentinels",976,"KRÜ Esports",11,13,"standard","2021-12-06T00:00:00.000Z","[1614,1485,1614,3033,724,893,1485,1614,3033,724,893,1485,724,1614,3033,724,893,1485,893,3033,724,893,1485,1614,3033]","[4712,2532,2532,2532,1725,1725,1725,1725,1725,3535,3535,3535,2532,3535,3535,4712,4712,4712,2532,4712,4710,4710,4710,4710,4710]",71
44886,21025,"VALORANT Champions 2021 - Group Stage","Fracture",388,"Sentinels",976,"KRÜ Esports",13,7,"standard","2021-12-06T00:00:00.000Z","[1614,3033,893,1485,724,1614,3033,893,1485,724,1614,3033,893,1485,724,1614,3033,893,1485,724,1614,3033,893,1485,724]","[4712,4712,4712,4712,4712,3535,3535,3535,3535,3535,4710,4710,4710,4710,4710,2532,2532,2532,2532,2532,1725,1725,1725,1725,1725]",71
44945,21044,"VALORANT Champions 2021 - Group Stage","Haven",600,"Vivo Keyd",727,"X10 CRIT",5,13,"standard","2021-12-06T00:00:00.000Z","[81,1661,277,2901,5288,81,1661,277,2901,5288,81,1661,277,2901,5288,81,1661,277,2901,5288,81,1661,277,2901,5288]","[671,671,671,671,671,766,766,766,766,766,3113,3113,3113,3113,3113,3642,3642,3642,3642,3642,6890,6890,6890,6890,6890]",71
